Name of the Company you have been placed in. ,Profile Offered.,Was the placement through an off-campus drive?,"If yes, please mention the name of the drive and source via which you applied.",How many rounds were there in the Selection Process? (Mention the Rounds),Please describe in detail the questions asked in Round 1 (Online Test). ,Please describe in detail the questions asked in Interview Round 1.,Please describe in detail the questions asked in HR Round/ Interview Round 2. ,Questions asked in additional rounds (if any).,How did you prepare for this drive? Any advice you would want to give to your juniors?
Infinity Business Insights ,Software Development Engineer,Yes,LinkedIn Job Portal,"3
2 Technical 
1 HR",Sliding Window Medium,"Sort characters by frequency 
Odd even linked list ","Minimum Window Substring 
Minimum Insertion Steps to Make a String Palindrome",HR - Basic HR stuff nothing out of ordinary.,Pepcoding’s Youtube channel for learning and L E E T C O D E is must for practice.
Nference,Software Engineer,Yes,,"1 online round, 4 interviews(2 technical, 1 vp and 1 hr)","Threading in Java,Cpp , DSA based trees, OOPsetc","Backtracking, COA, OS, Compiler Design",Behavioural Questions,,"Practice on LeetCode, focus on os, coa and networking topics"
ZopSmart,SDE,No,,3,Basic MCQ based on javascript,Competitive programming question,About company,,
Magic Edtech,Intern,No,,"2(aptitude test,interview)",Simple basic aptitude questions,Simple HR questions,Simple HR Questions,,
Zopsmart technology,SDE intern,No,,3,Aptitude test,DSA based questions,DSA oops ,HR questions,Practice DSA
DS group,Software Developer Engineer,No,On campus jiit,"3 rounds, online test round, technical and then managerial",Questions were mainly from Data structures and Cs core fundamentals,"Tell me something about yourself, project discussion, javascript in detail questions","Project discussion, tech stack discussion what the purpose of using this tech stack only",,"Through online resources, important tip, take one resource and don't leave it before it is completed"
Zopsmart Technologies,SDE,No,,3,"1 dsa question,oops,DBMS,operating system",Dsa,Two questions of dsa,3rd round was HR round,"Leetcode,gfg"
ZS Associates,Business Technology Solutions Associate,No,,3,"Aptitude, business case study, virtual interview","Introduce yourself.
Normal forms in SQL
Functional dependency
acid properties in dbms
Transaction
Logic puzzles
Joins in sql
Advanced SQL Queries
","HR based questions
Situational questions
Projects mentioned in resume
Logic puzzles
Case study
",,"DSA from gfg
Top dbms interview questions
Top interview SQL queries
Top OS questions
Previous Interview experiences from gfg"
SAP Labs,Developer Associate,No,,4,2 coding questions-1 easy and 1 medium to hard level,"Very polite interviewer, talked a little about the Projects mentioned on Resume, then asked 3 coding questions, after that few ques on OS","Managerial rounds, situation based questions, followed by a short HR round",,"Make your basics of coding strong, and atleast a basic knowledge of OS, DBMS concepts"
Zopsmart,SDE,No,,4,Aptitude,DSA,DSA,,
Genpact,Senior associate ,No,,3,First round is basic coding and aptitude based objective question .mostly asked from java,"Oops ,coding questions Array,sql,java functions","Normal talk about your background, your cv,projects",,Geeksforgeeks is enough 
Optum,SDE,No,,2,Problems based on DSA and mathematics,"Questions were asked based on the projects and tech stack mentioned in the resume. Also,  DSA based question was asked to be solved on an online editor.",The questions were related to the role offered and based on your personality.,,"Preparation for coding rounds can be done on online platforms like geeksforgeeks, interview it, leetcode etc. Other than this theoretical questions based on OS, DBMS, CN should be prepared as well."
Amazon,SDE Intern,No,,2,"There were 4 sections in the online test which was held in the month of August.

Debugging questions (Easy)
Coding Questions (Easy-Medium)
General Aptitude Assessment (Easy)
Workstyle compatibility test ","Q1. Find the first index of the non-repeating characters in a string. 
Q2. A variation of rotten oranges which was about finding the time by which all patients in a ward will get COVID infected, given there are three types of cells:  [0]-with no patient, [1]-Patient with some disease except COVID, [2]- with COVID patient","Q1. Merge K Sorted Linked Lists.
Q2. Find total number of (i,j) pairs in array such that i<j and a[i]>a[j].",,"My final advice would be to believe in yourself and answer with confidence. If at any point you realize your approach is wrong then be honest and humble. Smile, be polite, and try to think out loud. Also, solve as many previous interview questions as possible."
Dagoso,React Native Developer,No,,3,DSA QUESTIONS,"Two DSA questions were asked, one based on backtracking second based on stack and queue",One question on heap and then normal HR questions,,"Mainly leetcode, GFG, and YouTube videos"
Icertis,Associate software developer ,No,,"3 rounds, 2 Tech and 1 Hr",There were 2 coding questions and they were really tough ones if compared to the questions asked in other companies and there were other aptitude based mcqs,"Sql queries, questions from dbms, oops concepts and there real life examples, they also asked us to write a code but it was simple ds algo, questions on projects.","Basically same topics, questions of dbms, written sql queries, the interviewer asked me to write a ds algo code, it was a pattern code, gave scenarios to see how we think, how we’ll act in a problem.","Hr round- About myself, my family, preferred job location, brief about my projects and cleared our queries.","Oops, Computer network, dbms, ds algo study thoroughly"
Jio,Developer ,No,,2,Three question of coding which is simple to difficult level ,"About project, dsa questions on stack and queue, oops, cloud computing which i mentioned in my resume, and database related questions. ",Not held ,,The process is to easy but be confident and you should know that what you mentioned in your resume 
Jio Platforms,Deputy Manager,No,,3,Coding question,Coding question,Coding question ,,
Cognizant,Genc,No,,3,The questions asked were IQ based along with puzzles.,They asked all the programming questions of the language which i mentioned in my resume . The questions were mainly theoretical and of inheritance . And also of basic programming questions.,they just asked if i was having any doubts and verified the details .,,One should know the basic programming questions and should cover the programming language till inheritance. And one should also know how to solve puzzles and should practice Iq based questions.
Infosys,System engineer ,No,,"Test, interview ",Aptitude and small coding question in sql and c,"HR questions, general knowledge of coding and projects done in college ",NA,,Be yourself 
Deloitte,Risk and Financial Advisory ,No,,2 rounds ,Coding questions from SQL Java and basic theory questions as well as one word programming question. Aptitude questions including logic reasoning maths.,"Introduction, details about 3rd year internship, resume based interview, why you want to join Deloitte, why from ece and applying for a tech job, will you join in any designation we offer, long term goals.",Only 1 interview round was held,,Take courses from geekforgeeks for coding prep and prepinsta placement course for apti and interview rounds. Watch yt videos and talk w seniors in the specific companies for better understanding 
KPMG ,Analyst,No,,2 rounds : Online Test & Technical Interview,"It was a basic aptitude test consisting of reasoning, quant, english, etc.","Though it was named as Technical Interview but there were only HR questions. 
Typical questions about yourself & situationals like how would you resolve a conflict in your team, or what would you do with a lottery price, etc.
My interview went for 35 mins. It was simple & friendly. ",There was no Round 2,,Nothing specific. Some presence of mind & a good flow of communication will be enough.
Jaro Education,Career Development,No,,"GD
HR Interview
Final Interview",It was a GD on India ready to go cashless or not,"Asked me to sales pitch a Shirt to a mechanic
Asked me about why sales
Asked about universities partner of Jaro","Asked me why sales since doing Engineering
Asked about my work that I did in Proffus(my past company)
Asked how I managed study for past 1 year with Job
Asked why they should prefer me over BBA's and MBA's",,My job experience helped as it was in same domain. Also be yourself and talkative. Don't stay quiet.
Cognizant,Data Scientist,No,,2,Coding questions on DP and DSA,Interview questions on DSA,Basic HR questions,,Competitive Programming websites.
ULA,SDET,No,,4,"3 coding questions, 2 medium level, 1 high level. ","Simple array question, but i was asked to decrease the complexity, so gradually it became the question of maping. The interview ran for about 1 hr 15 minutes. I gave 3 solutions for the same question. ","Round 2- 3 coding questions, had to provide almost 3 solutions for each question by improving the complexity. But question were small comparatively from round 1.","HR round was easy, same questions which college provided us to prepare. ","Keep your basics strong, u will be able to improvise once you can figure out the brute force solution. "
Accenture ,Advanced ASE,No,Campus drive through JIIT,4,Cognitive technical and coding ,Communication assessment ,Normal coding questions ,,Through studies taught from college and further courses from third party apps 
ZS Associates,BTSA,No,Campus drives ,6,Aptitude/Case Study/Virtual Interview,Logical,Cases/Guesstimate/Puzzles/Coding/Reasoning,Na,Na
Red Hat,Intern,Yes,Reference through a friend,3,"Very simple questions about array, and graph theory basics.","Questions about containers, linux, operating systems.","Question about system design, Kubernetes, Kubernetes Operators, Operating Systems",,
BlogVault,Software Engineer,No,,4,8 Aptitude question 2 medium level DSA questions,Nothing that i remember it was normal round,CEO round was held last and he asked about projects that I did and what challenges i faced during my intern and how i solved it,Regex coding,Prepare DSA and little bit of Aptitude like remember NUMERICAL APTITUDE subject if you took it in your Objective sunject
Amazon,SE,No,,3,"Aptitude , and DSA ( Can't Remember the exact questions)","There were 2 questions , one was finding if a number is a circular Prime or not , and other was in order traversal of a tree","I did some freelance , so they majorly asked me about that experience , how did you takle the problems , what you learned , etc.",,"Make your basics strong , then proceed forward with it."
GreyB,Associate-insider sales,No,,5,Aptitude Test,Resume based,Generic Self portrayal,,
Zopsmart Technologies,SDE,No,,2 technical and 1 HR,"Questios were based on OOPS, OS, DBMS, JS","Question were based on Linked list, my project, OOPS and DBMS",Question were based on Trees and Graph,,
Infosys ,Tester dx,No,,3,Mental ability ,React oops,React deep knowledge ,,
Oracle,Associate Consultant,No,,"3 Rounds - Online Assesment, Technical Interview Round 1, Technical Interview Round 2",Data Sturcutes and Algorithms Questions and Logical Reasoning Questions,"Pattern Print Questions, Questions based on Projects","Prim's Algorithm, Kriskal's Algorithm, SQL Questions, Java Questions",,
Icertis,Associate software engineer,No,,4(coding test->2 technical rounds->1 hr round),"4 questions (array,linked list,trees)","Theory of dbms(dbms models), questions on projects, different types of entity relationships,torch and bridge puzzle, water jug puzzle","OOPS concepts,ACID properties,which keyword is used to limit inheritance,Cloud concepts(because i had mentioned it in my resume),OS concepts,static keyword,sql queries.",,"Practice DSA and sql queries and before the interview study OS,OOPs and DBMS concepts(mainly ACID properties)."
Accenture,Associate Software Engineer ,No,,"4 rounds of online test , 1 interview round ",Programming questions ,Some HR questions and some Technical questions ,"Hobbies,how to manage team work.",,
Reliance Jio,Deputy Manager,No,,2 rounds,Round 1 was an online test consisting of mcqs and programming questions. MCQ were mixed of programming and reasoning questions.,Interview was smooth I got two coding questions to solve those were of basic array and string question. Secondly DBMS and operating system theory questions were asked.,HR round was merged in first interview itself basic hr questions like tell me about yourself and strengths and weaknesses etc were asked.,NA,I prepared through YouTube playlists and by solving questions based on DSA and have gone through theory questions of DBMS OS CNS.
Infosys,DSE,No,,2,"There were 3 coding questions one question is based on dynamic programming, other one on graph and the last one is array based questions. 
Level of difficulty is somewhere between medium and hard.","The interviewer first asked me to introduce myself. Then he straight away asked me a question a binary tree questions where i have to find the left view and the right view.

After this he asked me question related to DBMS.

He also asked me questions related to my project that i have mentioned in my resume.

And at last he asked me some HR based questions like why infosys and all. 

Then he asked me if i have any question for him.",There is only one round of interview so i have mentioned everything in that.,,
Cognizant ,Programmer Analyst ,No,,3,NA,NA,NA,,
Cognizant,Programmer analyst trainee,No,,1 round technical,Coding and aptitude,SQL based and some c++ program,Govt Id proofs,,
Lumiq (crispanalytics) ,SDE(full stack Engineer) ,No,,3,"Oops concepts, DSA, sql",Oops concepts and resume projects,NA,,"Prepare oops concepts
Resume projects"
Fiora starquik,Get,No,,4,3,Opps ds question,Basic server ip based question,Hr round about project,Studying dsa
Nference ,Software Engineer ,No,,4,"MCQs , 1 DSA question , some miscellaneous questions ","Questions were asked on Recursion, stack and strings.",Questions were asked on Dynamic Programming (stock price related questions) and maps.,,Search about the past interview experience and prepared according to that.
Cognizant,Programmer analyst,No,,2,coding round,All the questions related to resume,Only verification of documents,,
Reliance Jio,SDE,No,,2,String question,Hashmap question ,Common HR question ,,
Testbook,Data Analyst,No,,"Online test, Tech Round, HR round",Aptitude Questions,"Coding question based on Hash Map, SQL query ","Case study of Netflix where they stopped the auto-renew option for inactive users, So how do they find it.",,Don't stop thinking and interacting till the interviewer stops you and should have some knowledge about DSA. And try to do at least 1 internship in the relevant field  
Amazon,SDE intern,No,,3,"Aptitude, Debugging, Coding questions (2 - One on Arrays and dynamic programming, other on BFS), Leadership principles","Questions on resume, Question on Tree, Question on Array","Questions on resume, Question on BFS + DP + MATRIX",,Leetcode grind.
Bukukas,SDE-1,No,,"4
1 online assessment
2 technical interview 
1 HR interview ",There were 2 questions on arrays ,"technical interview 1 
The interview started with introduction
then the interviewer asked about my projects as well as my past experience 
then he asked me to reverse a string
then asked me questions related to multi threading and OS since they were mentioned in my project 
then they asked basic computer networking questions 
and ended the interview if I had any questions for him
the round lasted roughly 45min to 1 hour","technical interview 2
the interviewer started with general introduction 
then asked me about one of my projects and about multi-therading and locks 
then ended the interview with asking if I had any questions ","HR Round 
asked basic questions about me 
",
Deutsche Telekom,Software Engineer,Yes,Official,2,How are you,Whats your name,What is your age,,Youtube DSA videos
Reliance JIO,SDE,No,,1,"Questions Related to CSE covering data structure, DBMS and 2 coding questions",Focused on implementing concept of Data Structure and it's deep knowledge,No HR Round,,
Deloitte USI - Risk and Financial Advisory,Technology Analyst,No,,2,"Aptitude Questions, SQL, English, Basic Computer Science, Java","About projects did in college, Difference b/w linear and non linear data structure with examples, How to implement queue from stack (only theory, no code), Puzzle","What is  your hobby, Why Deloitte, How was College Life",,"Put more efforts in Online Test, Interview is not tough, interview will mostly be based on resume."
Deloitte USI,Technology Analyst,No,,2,"The online test consisted of MCQs based on Java, Advanced HTML5, CSS and code debugging questions. The test was conducted  the AMCAT platform. ","I was asked to introduce myself, this was followed by some questions related to my internships like what was was the project about and what were my learnings from it. 
After a discussion on my resume I was asked about my family background and how do I keep myself updated about the happenings in the world. ",Not Applicable. ,,"Just be calm, confident and cheerful during the interview. Take it as a conversation with a senior and share your genuine experiences. 
Also, you should display a motivation for joining the company. "
Innovaccer,Data analyst,No,,2,Advanced SQL and dynamic programming ,Advances SQL queries ,Focused about how much of a valued based person you are .,,Prepare SQL and dynamic programming thoroughly .
Wipro,Project Engineer ,No,,2,"Simple maths, verbal, reasoning, coding ",About projects,Personal information ,,
Optum (UHG),SDE,No,NA,"3 (Technical test, Technical interview round & HR round)","General aptitude questions, data structures & algorithms, DBMS, statistics (All MCQs) & coding questions (codes)","C++ basics, DS Algo, SQL (DBMS), web development, internship projects","General introduction, why do you want to join the company, why this position, etc. ",NA,"Geeks for Geeks, YouTube tutorials, previous interview questions, college course material. "
Amazon,Sde-Intern,No,,3,There were 2 ques. I can't exactly remember the questions but both were of leetcode medium level. ,"He started with th introduction. 
The round went for 1.5 hr
Then asked me a stack based question the question was asked in competitive programming format as in a story was mentioned and u have to deduce the data structure or algo needed to solve it. 

Second question was preety basic one. In leetcode it goes by the name stock buy and sell which is a standard question. ","This round was behavioral and dsa mixed. He asked me to write the code for a tree question which was again a preety standard one.
The que was to find the about some kth distance of the node can't recall it. He asked a lot of follow up questions mea while.
We have to write the code on their editor.
He also asked one behavioral que to me. ",,"Practice dsa as much as you can. Follow leetcode, gfg etc sites but atleast make it a habit to solve one que daily.
Be confident and believe in whatever you have prepared.
All the best!! "
Farziengineer,Backend,No,,2,It was mainly architecture based questions,.,"Family background, what do you want to achieve etc.",,
RTDS,SDE-1,No,,2,It was a hackerrank test having 3-4 questions with easy-medium level array questions.,There was a panel of 4 people everybody asking different set of questions ranging from easy-medium level on core subjects like OOPS-DBMS. They asked some basic questions related to Data Structures and at the end about the project.,"It didn't happened, but it was a managerial round. They shortlisted directly.",,Prepare from gfg/leetcode for DSA. Complete your core subjects with good fundamentals. Have good projects which only you have made. Having extra skillset is always a plus.
Reliance Jio,Deputy Manager,No,,Online test and Interview ,"DSA coding questions on linked list and binary tree.
Few multiple choice questions","Questions on projects in my resume, Questions on DBMS and SQL , 4 coding questions on sorting, queue, hashing and linked list","Questions on the projects made by me, 
Job location preference",,Keep practicing DSA coding questions and have good knowledge of core CSE subjects
OFSS,Associate Consultant,No,,3,"Quantitative aptitude, qualitative aptitude and computer programming",College projects and computer algorithms,General HR questions,,
Deloitte USI,Risk and Financial Advisory ,No,,"2 rounds (1. Aptitude round- Maths,English,LR,Html,Java. 2. Interview round- HR+Technical ques) ","Basic aptitude ques (Maths,English,LR,Data interpretation,Html,Java) ","Introduction, basic HR questions like strengths, weakness etc., Questions from your CV. Discussion on your projects. Technical questions (Python etc.). Guesstimate questions (very important)",-,,"Read and research about the company you’re appearing for. Practice aptitude questions (the questions are easy but the time is less, so practice how to manage your time). Improve on your communication skills.Try not to give “typical” or “general” answers during the HR round; tell your story, give examples and be authentic. Don’t lie on your CV. Most of the questions they ask are from your CV. Brush up on your technical skills."
Cubastion,Graduate Trainee Engineer,No,,"3 Rounds , 1. Aptitude test , 2. Group Discussion, 3. Technical Interview",Questions that were based on the logical reasoning of the candidate,Group Discussion in which a topic was given and you are supposed to give your opinion about the topic,Technical Interview based on the skills written on your Resume and little bit of logical reasoning questions,,"Strengthen up your basic knowledge of C++ , Data Structures and maintain a positive attitude while responding in the interview"
Paytm Payments Bank ,DevOps Engineer ,No,,2,"DSA Round. 4 questions, mostly easy. More focussed on how fast you can complete this round, instead of the solution.",DSA Round. Question based on hashmap. Explain the solution as well as write the code in a pair coding space. ,Round 2 based on computer networking concepts and Operating systems. ,,
FarziEngineer,Software Engineer (Frontend),No,Na,2,Javascript questions were asked,All the web development related topics were asked,Why do you want to join this company,,
Reliance Jio,Designation is Deputy Manager. Profile will be offered on the basis of live project.,No,,2 rounds (Online test followed by a technical interview),"Aptitude based questions,2 hands on programming questions and few questions based on programming fundamentals.","Questions based on projects, database related questions, one pattern printing program and rest from OOPs concepts.",NA,,
DXC Technology,Softwere Engineer ,No,,2,Basic CSE,one code and basic cse,Basic,,NA
Vehant technologies ,SDE,No,,3,"We 2 DS algo questions One intermediate,One hard level","Two DS algo , Operatting systems , Computer networks , DBMS",2 DS algo,1 DS algo,
Publicis Sapient ,Associate Software Developer,No,,3,3 coding questions ,2 dsa question + introduction + project ,General question ,,
Jio Platforms,Deputy Manager,No,,2,ABcD,ABcD,Abcd,Abcd,Work hard you’ll get through
None,None,No,None,None,None,None,None,None,None
None,None,No,,Not placed yet,Not placed yet,Not Placed yet,Not Placed yet,I am not placed,"DSA usually, and my advice is to do Leet Code and striver sheet for getting better at it."
Accenture,ASE,No,NA,3,Aptitude and coding,"DSA, Python basic, Operating system",Very easy basic HR questions,NA,Do all DSA questions thoroughly.
JIIT College 128,Full Stack Developer,Yes,Guvi site,3,Assessment,Code on react,Basics,N/A,Study yourself
Paytm Payment Banks,Dev Ops Engineer,No,,"1- Online, 2-Technical",Coding related questions intermediate level,"Basic introduction, project related questions, puzzles, theory related ",Coding questions 1 intermediate 1 hard level,,
SBI CARDS AND PAYMENT SERVICES,Management trainee,No,,2,Group discussion,"Questions asked from resume, projects , Electronics & little bit of programming",NA,,
FarziEngineer,SDE,No,,3,"Sql , DSA and some normal coding questions","About my projects , basics of cloud computing , networking and DSA ",Tell me something that's not in your resume . Where do you see yourself in next 5 years  etc.,,Prepare your projects and be confident in what you have put in your resume. Never write anything lie in your resume that you haven't done .
Nference,Software Engineer,Yes,Via LinkedIn ,3,"There was no online test in my case, since I applied directly for a UI role via referral.",Basic Javascript questions ,"React coding round, advanced javascript ",HR round,Online sources especially freecodecamp
L&t technology services,Associate engineer,No,,3,Online test with MCQ and coding questions,Coding questions,Group discussion on random topic,,
Not applicable,Not applicable,No,,NA,NA,NA,NA,,
DXC,Associate professional ,No,,N.a,N.a,N.a,N.a,,
Accenture,AASE,No,,3,"Aptitude, Quants And English",There is only one interview which was HR interview,"Just normal talk and questions from resume like hobbies, Projects, etc.
My views on online classes and on other topics","2nd round was coding round consists of 2 easy to medium level questions. 
3rd round is English speaking round where they check our English.",YouTube
L&T Technology Services ,Associate Engineer ,No,,3,Questions based on ECE subjects and some CS questions ,Questions based on programming languages and some HR questions ,NA,,
DXC technology ,Associate professional ,No,NA,2,Basic aptitude and DSA,My strengths and weaknesses introduction basic coding questions ,If I m comfortable in moving and aptitude questions ,NA,Just revise your projects and concepts thoroughly 
None,NA,No,,0,NA,NA,NA,,
Jio,SDE,No,,2,Dsa,Coding question..dsa theory,Basic intro..about company,,Practice more and more questions from leetcode and other competitve platforms
Infosys - HWI ,DSE ,No,,3 rounds,"There were 3 coding questions ranging from medium to hard difficulty with the major topics covered to be DP, Advance Data structure and Algorithms. ","For coding : 
Advance DS Algo 
Web Dev coding 

For theory : 
DBMS, OOPS, Nerworking, SQL ","Past tech experience in internship
Relocation issue 
Things you know about infosys ",,"From 6th semester start learning your core CSE subjects such as DBMS, CN, OOPS and solve DSA questions on a regular basis. 
I would prefer to solve Love Babbar's 450 Dsa question sheets "
Accenture ,Associate Software Engineer ,No,,4,"Cognitive, technical and coding questions","1. Tell me about yourself
2. Explain about your project
3. Why you want to work in Accenture ",There was only one round of interview.,,
No,Mo,No,,No,No,No,No,,
Vakt Global Ltd,Software Developer,Yes,Through Refferal,3,NA,Mostly based on Web Development and an Assignment,Advanced questions on Web development and system design,Previous Internship experience and about myself.,Internship experience and learning matter a lot it's not only about competitive programming.
NA,NA,No,,NA,NA,NA,NA,,
Amazon,SDE(full time),No,,4,"DSA(DP, Array)","DSA (Graph , Sorting)","DSA(DP, Tree)","DSA(Graph, Trie) ",Leetcode
Infosys ,DSE,No,,4,Coding questions ,Dsa + dbms,Company culture ,,Stay calm and practice DSA questions as much as possible 
Jio Tesseract( Tesseract Imaging Ltd ),Software Development Engineer,Yes,LinkedIn Jobs,2,Questions related development of AR/VR Apps/Games using Unity Engine and C# and various other SDKs ,"Interviewer asked many questions related to Unity Engine, C#, Data Structures, Algorithms, Optimisation, OOPs","General HR Qs like Why do you want to work with us, how much package are you expecting, your weaknesses and strengths... ",,Online 
Oracle financial services software,Associate consultant,No,,4,"Data structures, algorithms, oops, computer networking, operating system, program control flow, aptitude multiple choice based online test","1. Asked about all of my projects in resume in depth
2. Program for merge sort
3. Program to reverse a string
4. Some sql queries
5. Databse transaction real life based question
6. Some reasoning questions","1. Asked about real life implementation of one of my project
2. Question on oops, networking, operating system",Hr round- General talk relates to company,"1. Created notes of important questions asked in interview from networking, operating system and oops.
2. Prepared Ds algo in depth.

Advice- Prepare a good resume, it should not contain false information. They mosly asked questions from what you have written on your resume. Dont write skills on resume you dont know about, they will ask each and every thing.


"
NA,NA,No,,NA,NA,NA,NA,,NA
Reliance Jio,SDE,No,,2,"Aptitude mcqs, DSA questions(mcqs) ","DSA, DBMS, OS, Project/internship discussion","About me, basic HR questions",,"By myself through the help of various youtube channels, geek for geeks and n number of sources from the internet. "
SBI CARD,IT Function,No,,3,Data structures basics and SQL,"C++ skills, Database, data structures ","Family background, location, puzzles ",,
not placed,not placed,No,,-,-,-,-,,
